,Unnamed: 0,Total_Sales,Year,cleaned_name,curb_weight_lbs,body_style,engine_type,speed_sec,horsepower_hp,length_in,width_in,msrp,pass_capacity,doors,wheelbase_in,height_in,tank_cap_gal,vol_cubft,mpg_comb,drivetrain,fuel_typ,trans,class_EPA,engine,fuel
2052,3131,169351.0,2012,chevrolet impala,3586.33333333333,four dr Car,Gas V6,6.21,300.0,200.4,72.9,27781.6666666667,5.0,4.0,110.5,58.7,17.0,105.0,22.0,front wheel,Regular,"Transmission, 6-speed automatic, electronically controlled with over",Large Cars,Direct Injection,regular
2053,3133,158344.0,2012,ford explorer,4644.5,Sport Utility,Gas V6,6.98,290.0,197.1,78.9,33743.3333333333,7.0,4.0,112.6,70.4,18.6,151.7,19.5,front wheel,"Gas V6, 3.5L",6-speed SelectShift automatic transmission w/OD (REQ: 998 Engine),Sport Utility Vehicle - twoWD,Electronic Fuel Injection,regular
2054,3134,5863.0,2012,ford explorer police interceptor,,,,,,,,,,,,,,,,,,,,,
2055,3135,157185.0,2012,gmc sierra,,Crew Cab Pickup - Short Bed,Gas/Ethanol V8,7.57,403.0,218.0,50.6,33140.9090909091,5.03030303030303,2.66666666666667,141.80303030303,73.7181818181819,28.4242424242424,,16.030303030303,rear wheel,"Gas/Ethanol V8, four .8L","Transmission, four -speed automatic, electronically controlled with over and tow/haul mode (On Crew Cab models, requires (Ltwo0) Vortec four .8L V8 SFI Flex-Fuel engine. Not available on T*10953 models.)",,Electronic Fuel Injection,gas/ethanol
2056,3136,154734.0,2012,jeep grand cherokee,4720.0,Sport Utility,Gas/Ethanol V6,6.9,290.0,189.8,76.3,37283.6363636364,5.0,4.0,114.8,69.3727272727273,24.6,105.4,18.5454545454545,four wheel,"Gas/Ethanol V6, 3.6L",5-speed automatic transmission (REQ: ERB Engine),four WD Sport Utility Vehicle,Electronic Fuel Injection,gas/ethanol
2057,3137,152399.0,2012,kia optima,3318.66666666667,four dr Car,Gas Ifour ,7.25,200.0,190.7,72.1,23516.6666666667,5.0,4.0,110.0,57.2666666666667,18.2833333333333,102.0,26.0,front wheel,Regular,"6-speed automatic transmission w/OD, Sportmatic shifter, H-Matic -inc: Auto Shift lock system, ECO switch",Midsize Cars,Direct Injection,regular
2058,3140,142349.0,2012,nissan rogue,3386.66666666667,Sport Utility,Gas Ifour ,8.94,170.0,183.3,70.9,25646.6666666667,5.0,4.0,105.9,65.9666666666667,15.9,126.4,24.5,front wheel,"Gas Ifour , two.5L",,AWD Sport Utility,Direct Injection,regular
2059,3141,141669.0,2012,jeep wrangler,3974.0,Sport Utility,Gas V6,5.54,285.0,152.8,44.7,26670.0,4.0,2.0,95.4,70.9,18.6,102.9,18.0,four wheel,"Gas V6, 3.6L",6-speed manual transmission,four WD Sport Utility Vehicles,Electronic Fuel Injection,regular
2060,3142,141468.0,2012,dodge grand caravan,4510.0,"Mini-van, Passenger",Gas/Ethanol V6,7.75,283.0,202.8,49.0,25395.0,7.0,4.0,121.2,67.9,20.0,0.0,20.0,front wheel,Gasoline or E85,6-speed automatic transmission w/OD,twoWD Minivan,Electronic Fuel Injection,regular
2061,3143,141365.0,2012,toyota tacoma,,Extended Cab Pickup - Standard Bed,Gas Ifour ,,159.0,190.4,41.5,23373.0,4.15,2.7,125.12,68.875,21.1,,19.4,rear wheel,"Gas Ifour , two.7L",four -speed electronically controlled automatic transmission w/(ECT-i),,Electronic Fuel Injection,regular
